"filename", "language", "Markdown", "XML", "JavaScript", "SQL", "HTML", "Vue", "JSON", "CSS", "YAML", "Java", "Java Properties", "comment", "blank", "total"
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugin_tools_maven_plugin_annotations_3_5.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_checkstyle_plugin_3_1_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_javadoc_plugin_3_2_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_source_plugin_3_2_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_plugins_maven_surefire_plugin_2_22_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_reporting_maven_reporting_api_3_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_reporting_maven_reporting_impl_2_3.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_artifact_transfer_0_10_1.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_common_artifact_filters_3_0_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_invoker_3_0_0.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Project\Java\Springboot_Vue_Mall\backend\.idea\libraries\Maven__org_apache_maven_shared_maven_shared_utils_0_6.xml", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
